UnixTimeStamp,NNIntervals,SDNN_5min,HeartRate,RMSSD_5min
1551452798569,1095,53.754307326611865,57,36.94184140839638
1551452799567,1093,53.75682929048683,57,36.94160227708845
1551452800564,1117,53.79157005524298,57,36.90715119305849
1551452801564,1106,53.77235645864993,56,36.802500299144775
1551452802559,1082,53.764642438031004,56,36.82995017213543
1551452803557,1114,53.78319809061774,56,36.67607224906144
1551452804553,1083,53.70888975764309,56,36.66335245756397
1551452805552,1045,53.75523965229945,57,36.43906768442693
1551452806549,1047,53.53128063822613,57,36.43906768442693
1551452807547,941,53.927574096164165,58,36.96761069210026
1551452808544,926,54.55481820079245,59,36.95083162253825
1551452809542,940,55.136365157246246,60,36.93490597188442
1551452810539,984,55.428289388361804,60,37.02568108854544
1551452811537,1052,55.36247293910636,60,37.18004348844708
1551452812534,1039,55.319900533290806,60,36.995940948205515
1551452813532,1041,54.86231709160245,60,36.995702166583975
1551452814529,1032,54.4517450107302,60,36.95365256862363
1551452815527,1010,54.34824362964121,60,36.96990467380334
1551452816522,975,54.521547588506486,60,36.89915585999512
1551452817522,945,54.574519502857754,61,36.92495493321268
1551452818519,977,54.19484084669909,61,36.94160227708845
1551452819517,976,54.05680169217634,61,36.91174652874231
1551452820514,1051,53.75539148931124,61,37.17882485592901
1551452821510,1105,53.45889373681454,60,37.28753711400457
1551452822511,1084,52.96179354190561,60,37.033887642566796
1551452823507,1083,52.88936589367892,59,37.033887642566796
1551452824502,1138,52.903337809123535,59,37.17621109497432
1551452825500,1113,52.867811209669256,58,37.12984569986944
1551452828494,1161,53.22786035994462,57,37.24072886130179
1551452829492,1138,53.28395707218105,57,37.261220813500664
1551452830487,1112,53.290133876187,57,37.27244123269685
1551452831485,1119,53.32404168070479,57,37.2690038461834
1551452832485,1049,53.368488979558265,57,37.33669066415621
1551452834480,1074,53.38937624358145,57,37.3604546469736
1551452834482,1074,53.30006044841836,57,37.29391772035199
1551452835477,1129,53.35608503632526,57,37.169660072339084
1551452836474,1130,53.18334690460985,57,37.01927938606241
1551452837472,1109,52.538103825222755,56,37.040422278401174
1551452838469,1139,51.94093951157257,56,36.759582477424715
1551452840464,1148,51.7132735269329,56,36.495449814228316
1551452841462,1140,51.78489051463376,56,36.470389163186695
1551452842459,1139,51.77491702808599,55,36.40548627068429
1551452843457,1164,51.96095410129449,55,36.303730580926896
1551452844455,1133,51.921008594689454,55,36.32489808162673
1551452845452,1107,51.723227804249554,55,36.3469834078012
1551452846450,1141,51.67627398869363,55,36.238729994322696
1551452847447,1120,51.70608579212661,55,36.219084252047836
1551452848445,1129,51.7185650855519,55,36.207144258746304
1551452849442,1098,51.7120839159208,55,36.207144258746304
1551452851437,1112,51.79780210587599,55,36.21710329980259
1551452851438,1112,51.72174192853969,55,36.15260261940465
1551452852435,1116,51.72513376163169,55,36.066466913009215
1551452853432,1101,51.717339801682,55,35.949054501793974
1551452854431,1084,51.68214090914605,55,35.88802276437005
1551452855424,1094,51.68122035509404,55,35.89174113707127
1551452856422,1042,51.75706067093716,56,35.98680066446665
1551452857422,1060,51.69643909789485,56,35.93892573490091
1551452859415,1101,51.732463796967274,56,36.045295742936126
1551452859416,1101,51.64454288803925,56,35.98132888553165
1551452860414,1082,51.61924520178848,56,35.90363382703506
1551452861412,1068,51.45569058546436,56,35.826116706920274
1551452862410,1085,51.42437072847063,56,35.82928395394586
1551452863407,1077,51.422340460774215,56,35.76464635751364
1551452864404,1031,51.44946808113902,57,35.84323630271801
1551452865400,1081,51.42225663618893,57,35.92802102865479
1551452866399,1122,51.455633358705626,57,36.00256098061804
1551452867397,1059,51.486179501865045,57,36.02658592785364
1551452869391,1111,51.50381642100587,57,36.1319743849369
1551452870389,1116,51.519523859251954,56,36.02885360117563
1551452871387,1127,51.52573473710374,56,36.03166855406553
1551452872385,1146,51.60600525520596,56,36.0233712195479
1551452873382,1086,51.60685293526562,56,36.1976090911346
1551452874379,1120,51.633597775795245,56,36.163527368659324
1551452875377,1122,51.61581171873266,56,36.09630258763661
1551452876374,1081,51.52829806369264,56,36.11486796242322
1551452877372,1050,51.68006744179247,56,36.200312615389905
1551452878369,1069,51.67846738553439,56,36.21210745011464
1551452879367,1078,51.679378831512615,56,36.19229976497183
1551452880365,1025,51.73996456355199,57,36.26566670502948
1551452881362,1058,51.77508860460826,57,36.30929974850728
1551452882359,1090,51.75591135632515,57,36.22716938181121
1551452883357,1031,51.85273268377888,57,36.358927806051625
1551452884355,1066,51.782539951091564,57,36.3542153713296
1551452886349,1084,51.88551834526895,57,36.2544880029476
1551452887347,1073,51.896724690177294,57,36.2544880029476
1551452888346,1065,51.91724307703192,57,36.14905874844567
1551452889342,1039,51.90241266232831,57,35.980322815300575
1551452890340,1066,51.92170992013615,58,35.97186524171317
1551452891337,1031,51.994187877633905,58,35.978591894807344
1551452892334,1000,52.27239444022413,58,35.88177503077893
1551452893332,1001,52.46383626119918,59,35.80631964738057
1551452894329,1005,52.705592881221904,59,35.78305529525595
1551452895327,1028,52.82818176954892,59,35.79498762103481
1551452896324,1051,52.87776720472106,59,35.81884034755196
1551452897322,1081,52.87649085965672,59,35.71312148585369
1551452898320,1079,52.78633524105778,58,35.649943053479234
1551452899317,1057,52.75432038633996,58,35.55447324002828
1551452900315,1003,52.90872988744759,59,35.636464431437986
1551452901312,1017,53.173497114905956,59,35.64845097248391
1551452902310,1009,53.350496417652245,59,35.64919702078787
1551452903307,1036,53.34634456992134,59,35.6223319005836
1551452904304,1099,53.38964038297169,59,35.7515560341819
1551452905302,1147,53.493613864707655,58,35.821117825516055
1551452906299,1119,53.52028396252132,58,35.81235572669069
1551452907297,1124,53.50211894002752,57,35.79928284871457
1551452908294,1110,53.495840979745026,57,35.79294276492294
1551452909292,1087,53.49393102579244,57,35.70962482251164
1551452910289,1059,53.422242275353696,57,35.724517278079105
1551452911287,980,53.71136810354466,58,35.96921534168935
1551452912284,935,54.271342707981056,59,35.950741722371916
1551452913282,1041,54.31119319226243,59,36.47938572726889
1551452914279,1033,54.32359160976896,59,36.384285817052415
1551452915277,1100,54.03581999684376,59,36.563754282191546
1551452916275,1141,53.98782318271558,58,36.59234892706397
1551452917272,1115,53.92036060587464,58,36.56043617023389
1551452919267,1139,53.99715942988843,57,36.62125895943299
1551452920264,1141,54.07583047164813,57,36.54417917811427
1551452921261,1126,54.12056560918743,56,36.45264123494391
1551452922258,1112,54.11130514916455,56,36.40273355945549
1551452923257,1132,54.08425895732677,56,36.35796210530376
1551452924254,1075,54.08780235165802,56,36.51494966853678
1551452926250,1160,54.358325849957666,56,36.880716901274354
1551452926251,1160,54.436672356576175,56,36.81572880337892
1551452927246,1117,54.42417825425436,55,36.85205480922294
1551452928244,1130,54.48330266545255,55,36.85778722160677
1551452930239,1123,54.36658830983697,55,36.458650764224714
1551452932234,1123,54.39854883293477,55,36.455403631021696
1551452932236,1123,54.34204707156637,55,36.390937791665806
1551452933232,1073,54.34733338166195,56,36.36004680323678
1551452934229,1116,54.23797344940055,55,36.38336318439753
1551452936225,1098,54.25015084081018,55,36.394849998083224
1551452936226,1098,54.15702323594906,55,36.3304912386218
1551452937222,1152,54.08806189222768,55,36.34079952680389
1551452938220,1133,54.12754677943869,55,36.22671056422163
1551452939217,1154,54.24185749643271,55,36.14937599958
1551452941212,1131,54.37596051403066,55,36.13896543476356
1551452942210,1076,54.28597702948236,55,36.222906287725294
1551452943208,1109,54.3684045588946,55,36.34005078119928
1551452944204,1107,54.361986461240825,55,36.28380057818039
1551452945202,1054,54.30177442368698,55,36.39504486575257
1551452946199,1102,54.27019800867102,56,36.43317014102427
1551452947198,1069,54.283911076665404,56,36.41214044286885
1551452948195,1122,54.220709449440236,56,36.484034942063495
1551452949192,1123,54.27787175131771,56,36.54871421320179
1551452950190,1108,54.25027903134993,56,36.50993258422925
1551452951187,1135,54.31353402188557,55,36.545124152077804
1551452952183,1086,54.31435763132886,55,36.6596866341418
1551452953182,1102,54.317083297333625,56,36.631382120094365
1551452955177,1098,54.37474976567205,56,36.62486563686138
1551452956173,1066,54.38822759918344,56,36.487603315777505
1551452957172,1045,54.385179715119236,56,36.49330850767437
1551452958170,1079,54.36224636675368,56,36.54962988649622
1551452959167,1051,54.387171979330205,57,36.58539467059016
1551452960166,1109,54.38148225430568,56,36.74820546614768
1551452961162,1146,54.46676108784805,56,36.61592520540328
1551452962159,1111,54.2496996155916,56,36.67496940398066
1551452963157,1167,54.184202177192375,56,36.78034249848755
1551452964157,1109,54.08786087166462,56,36.907598384415884
1551452965151,1154,54.18138027171516,55,36.98773481426501
1551452966149,1158,54.23952478882244,55,36.78469626085771
1551452967147,1074,54.243820172950606,55,37.094473981982816
1551452969142,1071,54.298819458723784,55,37.079788487607566
1551452970139,1042,54.374776732298784,56,37.11983489803185
1551452971137,1094,54.27797571006171,56,37.183348739557395
1551452972134,1124,54.3030118128469,56,37.16439385781108
1551452973132,1065,54.24656473657749,56,37.316907715183035
1551452974129,1075,54.22127215591778,56,37.31933943795642
1551452975127,1028,54.30764085865003,57,37.21047187394767
1551452976124,1000,54.215676166234275,57,37.23986881262465
1551452977122,1033,54.237583925835224,57,37.225687005744376
1551452978119,1068,50.841226881223115,57,36.569893941015785
1551452979117,1058,49.726191314984675,58,36.36147883209844
1551452980114,1083,49.250758254184284,57,36.37797606873069
1551452981112,1135,49.21887368240152,57,36.445445019006854
1551452982109,1103,48.51426894015998,57,36.27238225269625
